南京,1号线,南京南站
深圳,1号线/罗宝线,桃园
重庆,1号线,微电园
宁波,1号线,鼓楼
无锡,1号线,三阳广场
哈尔滨,1号线,烟厂
福州,1号线,胪雷
佛山,佛山2号线,张槎
南昌,1号线,艾溪湖西
青岛,1号线,北岭
呼和浩特,1号线,白塔西
广州,佛山2号线,仙涌
常州,1号线,茶山
西安,1号线,洒金桥
徐州,2号线,客运北站
大连,1号线,七贤岭
郑州,1号线,民航路
兰州,1号线,焦家湾
合肥,1号线,大东门
石家庄,1号线,南村
太原,2号线,电子西街
乌鲁木齐,1号线,新疆大学
洛阳,1号线,杨湾
厦门,1号线,集美软件园
香港,东铁线(羅湖-金钟),九龙塘
贵阳,1号线,观山湖公园
南宁,1号线,清川
温州,S2线,旭阳路
长沙,1号线,友谊路
济南,2号线,济泺路
武汉,1号线,古田三路
天津,1号线,财经大学
上海,1号线,彭浦新村
沈阳,1号线,中央大街
成都,1号线(五根松-韦家碾),人民北路
杭州,1号线,客运中心
北京,1号线八通线,天安门西
苏州,1号线,星湖街
昆明,1号线(环城南路-昆明南火车站),福德
长春,2号线,兴隆堡
南京,1号线,花神庙
深圳,1号线/罗宝线,大新
重庆,1号线,陈家桥
宁波,1号线,西门口
无锡,1号线,南禅寺
哈尔滨,1号线,工程大学
福州,1号线,福州火车南站
佛山,佛山2号线,石湾
南昌,1号线,艾溪湖东
青岛,1号线,小村庄
呼和浩特,1号线,坝堰(机场)
广州,佛山2号线,花卉世界
常州,1号线,聚湖路
西安,1号线,北大街
徐州,2号线,李沃
大连,1号线,河口
郑州,1号线,会展中心
兰州,1号线,东岗
合肥,1号线,明光路
石家庄,1号线,洨河大道
太原,2号线,康宁街
乌鲁木齐,1号线,三屯碑
洛阳,2号线,二乔路
厦门,1号线,集美大道
香港,东铁线(羅湖-金钟),大围
贵阳,1号线,林城西路
南宁,1号线,民族大学
温州,S2线,万岙
长沙,1号线,省政府·清风
济南,2号线,生产路
武汉,1号线,古田二路
天津,1号线,双林
上海,1号线,共康路
沈阳,1号线,十三号街
成都,1号线(五根松-韦家碾),火车北站
杭州,1号线,下沙西
北京,1号线八通线,天安门东
苏州,1号线,南施街
昆明,1号线(环城南路-昆明南火车站),日新路
长春,2号线,西环城路
南京,1号线,软件大道
深圳,1号线/罗宝线,鲤鱼门
重庆,1号线,大学城
宁波,1号线,大卿桥
无锡,1号线,谈渡桥
哈尔滨,1号线,太平桥
福州,1号线,安平
佛山,佛山2号线,沙岗
南昌,1号线,太子殿
青岛,1号线,海泊桥(海慈医疗)
呼和浩特,2号线,塔利东路
广州,佛山2号线,登洲
常州,1号线,湖塘
西安,1号线,五路口
徐州,2号线,九里山
大连,2号线,大连北站
郑州,1号线,黄河南路
兰州,2号线,雁白大桥
合肥,1号线,长淮
石家庄,1号线,西庄
太原,2号线,通达街
洛阳,2号线,邙岭
厦门,1号线,天水路
香港,东铁线(羅湖-金钟),沙田
贵阳,1号线,阅山湖公园
南宁,1号线,西乡塘客运站
温州,S2线,盐盆
长沙,1号线,桂花坪
济南,2号线,北园
武汉,1号线,古田一路
天津,1号线,李楼
上海,1号线,通河新村
沈阳,2号线,蒲田路
成都,1号线(五根松-韦家碾),升仙湖
杭州,1号线,金沙湖
北京,1号线八通线,王府井
苏州,1号线,星塘街
昆明,1号线(环城南路-昆明南火车站),巫家坝
长春,2号线,和平大街
南京,1号线,天隆寺
深圳,1号线/罗宝线,前海湾
重庆,1号线,尖顶坡
宁波,1号线,泽民
无锡,1号线,太湖广场
哈尔滨,1号线,交通学院
福州,1号线,梁厝
佛山,佛山2号线,魁奇路
南昌,1号线,奥体中心
青岛,1号线,台东
呼和浩特,2号线,新店
广州,佛山2号线,湾华
常州,1号线,新天地公园
西安,1号线,朝阳门
徐州,2号线,奔腾大道
大连,2号线,南关岭
郑州,1号线,农业南路
兰州,2号线,均家滩
合肥,1号线,合肥火车站
石家庄,1号线,东庄
太原,2号线,化章西街
洛阳,2号线,国花路
厦门,1号线,厦门北站
香港,东铁线(羅湖-金钟),火炭
贵阳,1号线,老湾塘
南宁,1号线,鹏飞路
温州,S2线,新望
长沙,1号线,大托
济南,2号线,历山路
武汉,1号线,舵落口
天津,1号线,洪泥河东
上海,1号线,呼兰路
沈阳,2号线,蒲河路
成都,1号线(五根松-韦家碾),韦家碾
杭州,1号线,高沙路
北京,1号线八通线,东单
苏州,1号线,钟南街
昆明,1号线(环城南路-昆明南火车站),昌宏西路
长春,2号线,万福街
南京,1号线,安德门
深圳,1号线/罗宝线,新安
重庆,1号线,璧山
宁波,1号线,望春桥
无锡,1号线,清名桥
哈尔滨,1号线,桦树街
福州,1号线,下洋
佛山,佛山2号线,石梁
南昌,1号线,瑶湖西
青岛,1号线,广饶路
呼和浩特,2号线,百合路
广州,佛山2号线,石梁
常州,1号线,长虹路
西安,1号线,康复路
徐州,2号线,九龙湖
大连,2号线,体育中心
郑州,1号线,东风南路
兰州,2号线,张苏滩
合肥,1号线,瑶海公园
石家庄,1号线,会展中心
太原,2号线,西桥
洛阳,2号线,洛阳火车站
厦门,1号线,岩内
香港,东铁线(羅湖-金钟),大学
贵阳,1号线,下麦西
南宁,1号线,南职院
温州,S2线,翁垟
长沙,1号线,中信广场
济南,2号线,七里堡
武汉,1号线,竹叶海
天津,1号线,高庄子
上海,1号线,共富新村
沈阳,2号线,人杰湖公园
成都,1号线(科学城-韦家碾),科学城
杭州,1号线,文泽路
